"","date","party","state","text","before_after"
"27",1999-06-24,"D","CT","it is time to extend that guarantee to gay men and lesbians. a collection of one national survey and twenty city and state surveys found that as many as 44 percent of gay. lesbian and bisexual workers faced job discrimination in the workplace at some time in their careers. other studies have reported even greater discriminationas much as 68 percent of gay men and lesbians reporting employment discrimination. the fear in which these workers live was clear from a survey of gay men and lesbians in philadelphia. because it would not give gay men and women all of the protections we currently provide to other groups protected under our civil rights laws.","before"
"28",2000-06-15,"D","CT","stateoftheart expansion of bungay elementary school.","before"
"29",2000-06-16,"D","CT","who was killed because he was a gay man.","before"
"30",2000-09-19,"R","CT","and i ought to have it and have someone neutral to turn to gay.","before"
"31",2001-02-06,"D","CT","let me gay.","before"
"32",2001-07-31,"D","CT","it is time to extend that guarantee to gay men and lesbians. survey and twenty city and state surveys found that as many as 44 percent of gay. lesbian and bisexual workers faced job discrimination in the workplace at some time in their careers. as much as 68 percent of gay men and lesbians reporting employment discrimination. the fear in which these workers live was clear from a survey of gay men and lesbians in philadelphia.","before"
"33",2002-06-11,"D","CT","which once housed the enola gay.","before"
"34",2003-10-02,"D","CT","it is time to extend that guarantee to gay men and lesbians. a collection of i national survey and 20 city and state surveys found that as many as 44 percent of gay. lesbian and bisexual workers faced job discrimination in the workplace at some time in their careers. other studies have reported even greater discriminationas much as 68 percent of gay men and lesbians reporting employment discrimination. the fear in which these workers live was clear from a survey of gay men and lesbians in philadelphia.","before"
"35",2004-03-30,"D","CT","i gay another $20 million because this is the most recent cut enacted in my state.","before"
"36",2004-07-08,"D","CT","i am told the next two issues to be brought upand the minority whip can correct me if i am wrongare a constitutional amendment on gay marriage and a flagburning constitutional amendment. certainly the american public might be more impressed with the senate if we were to deal with the issue of mental health rather than with the issue of gay marriage or flag burning. are people here to tell me the flagburning amendment and a gay marriage constitutional amendment are more important than dealing with reforming the class action system or the issue of mental health parity? it ought to be gay marriage and flag burning.","before"
"37",2004-07-14,"D","CT","when it comes to gay marriage: i think different states are likely to c6me to different conclusions. gay and lesbian couples exist. i do not profess to know exactly how and in what form these rights and responsibilities should be extended to gay and lesbian couples. i understand that some argue that the constitutions full faith and credit clause makes inevitable that one states decision to allow gay marriage will lead to gay marriage across the nation. there will be enough time for those of us who oppose gay marriage to act statutorily or constitutionally.","before"
"38",2004-07-22,"R","CT","i am sensitive to my colleagues and constituents who oppose gay marriage.","before"
"39",2004-09-30,"R","CT","i do not advocate the legalization of gay marriage. the decision about whether to recognize gay marriage should be left to the states. gay men and women pass through our lives every day. they are wonderful teachers and leaders and role models who happen to be gay. and sometimes we do not even know they are gay. i learned years later he was gay and that he had commuted from connecticut to washington. my understanding of gay people was impacted again by my wifes best friend. my perception of gay people evolved further during my first campaign for congress. and he gave me another gay face to know.","before"
"40",2005-07-11,"D","CT","194) relative to the death of gaylord a. i rise to speak on a resolution submitted by senator frist and senator reid to commemorate the life and work of senator gaylord nelson. i am proudproud to have known gaylord nelson. gaylord anton nelson was born on june 4. gaylords parents were always interested in politics. their wisconsinstyle progressive politics rubbed off on young gaylord. gaylord traveled with his dad to hear a campaign speech by senator bob la follette. gaylord recalls in his biography: on the way back home to clear lake. gaylord was nominated to be the democrat candidate for governor of wisconsin. gaylords father had a heart attack. when gaylord went to see him in the hospital. do you think bob la follette left enough problems behind for you to solve?"" gaylords father died 10 days later. gaylords father did not get to see his sons rise to the national political level. he would have seen gaylord attack those ""remaining problems left to solve"" with la follettelike dogged determination and commitment to progressive politics. gaylord nelson was also willifng to take a tough stand. gaylord nelson was guided by his conscience. one issue stands out as central to his legacygaylord nelsons passion and commitment to protecting our environment. but gaylord nelson can. gaylord nelson created a day to celebrate the glory of the earth. thanks to gaylord nelson. gaylord nelson brought about significant change for the ""greener"" in both our nations laws and the institution of the senate itself. gaylord nelson. it is to gaylords lasting credit that he was able to fight tenaciously for environmental and other causes without alienating or antagonizing a soul. gaylord was right. and we in this body owe it to them and to gaylords memory to protect our natural resources. gaylord nelson changed the consciousness of a nation.","before"
"41",2006-07-13,"D","CT","we spent more time in the last couple of weeks talking about gay marriage and flag burning.","before"
"42",2006-07-18,"R","CT","i do not advocate the legalization of gay marriage. the decision about whether to recognize gay marriage should be left to the states. gay men and women pass through our lives every day. there are wonderful teachers and leaders and role models who happen to be gay and sometimes we dont even know theyre gay. i learned years later he was gay and that he had commuted from connecticut to washington. my understariding of gay people was impacted again by my wifes best friend. my perception of gay people evolved further during my first campaign for congress. he became my friend and he gave me another gay face to know. i do not advocate the legalization of gay marriage. i believed back in 1996 when i voted for -the defense of marriage act and i still believe today the decision about whether to recognize gay marriage should be left to the states. gay men and women pass through our lives every day. they are wonderful teachers and leaders and role models who happen to be gay. and sometimes we dont even know they are gay. there are brave men and women buried in arlington national cemetery who happen to be gay. i learned years later he was gay and that he had to commute from connecticut to washington. my understanding of gay people was impacted again by my wifes best friend. my perception of gay people evolved further during my first campaign for congress when i worked with a magnificent young man named carl brown. and he gave me another gay face to know.","before"
"43",2007-11-07,"R","CT","and that no claims will be permitted based on statistics about gays and lesbians in the workforce. gays and lesbians dont want special rights. enda supporter and former senator barry goldwater wrote: there was no gay exemption in the right to ""life. and the pursuit of happiness."" job discrimination against gaysor anybody else--is contrary to each of these founding principles. when enda is passeda process that may take some timeworking americans who happen to be gay or lesbian will only have to prove themselves in the workplace and the employment market on the basis of their talents and abilities.","before"
"44",2008-04-16,"D","CT","gay city state park.","before"
"45",2008-06-23,"D","CT","and marvin gaye set the tone for american music and have influenced artists and musicians across generations throughout the globe.","before"
"46",2010-09-21,"D","CT","we owe it to the gay and lesbian community to repeal this law. these gay and lesbian service members. it has been estimated that approximately 48.000 gay and lesbians are currently serving in todays military. gay and lesbian service members fight. gays and lesbians.","after"
"47",2010-12-01,"D","CT","but 17 years ago this body passed legislation which discriminated against our soldiers that said if you are gay. now is the time to fix that sin of 17 years ago and say to gay americans that if youre patriotic enough to serve this country.","after"
"48",2012-05-16,"D","CT","nearly half of lesbian and gay survivors were turned away from domestic violence shelters or denied services because of their sexual orientation.","after"
"49",2012-12-10,"D","CT","and the gay and lesbian community.","after"
"50",2012-12-17,"D","CT","josephine gay.","after"
"51",2012-12-28,"D","CT","josephine gay had just turned 7 and found joy in riding her bike around the neighborhood.","after"
"52",2013-02-04,"D","CT","so this legislation contains protection for gay. lesbian. bisexual. and transgender americans. the lgbt community ought to know it is covered in the same way as every other part of our population. a recent survey found that 45 percent of lgbt victims were turned away when they sought help from a violence center.","after"
"53",2013-04-10,"D","CT","josephine gay celebrated her seventh birthday just 3 days before the tragedy. joey gay was killed that day at age 7 in sandy hook elementary school.","after"
"54",2013-11-05,"D","CT","of coursenot only on this bill but on a range of lgbt civil rights issues. it is about membersmillions of themof the lgbt community who are now just beginning to enjoy full freedom and equality that is guaranteed to them by our constitution as citizens. lgbt americans live without any protections against discrimination in private sector employment. between 15 percent and 43 percent of all lgbt americans have experienced discrimination or harassment in their workplaces because of their sexual orientation or gender identity. and that number rises to a staggering 90 percent for transgendered americans in particular. connecticut became the fourth state to formally protect lgbt workplace rights. and in 2011 we became the 15th state to offer similar protections to our transgender citizens. i think it will be just as shocking 40 or 50 years from now for people to read that this argument is being made today about the treatment of lgbt americans.","after"
"55",2015-06-17,"D","CT","june is national lgbt pride month. and talents of lesbian. gay. bisexual. and transgender americans. when i gave my first gay rights speech. and i think i knew on some level that my brother jamie was gay. that progress is due to the tireless determination and enduring struggle of lgbt americans and allies. during lgbt pride month. i am honored to join with americans across this great country to celebrate national lgbt pride month and to stand with those who stand up every day to defend the right of all americans to be proud of who they are.","after"
"56",2015-06-18,"D","CT","she works at a small nonprofit where she helps her lgbt peers get the coverage they need.","after"
"57",2015-10-08,"D","CT","why would we assume that the transpacific partnership will be any different when it comes to bruneis persecution of lgbt people.","after"
"58",2015-12-10,"D","CT","josephine gay.","after"
"59",2016-05-09,"D","CT","the article included harrowing stories like this one: shaquille kornegay.","after"
"60",2016-06-15,"D","CT","gunned down at a gay nightclub in orlando. and lgbt americans across this nation. an individual set out to kill lgbt americans simply because of who they are. it was a direct attack on the lgbt community in a place where they gathered for safety and fellowship. as the sister of a gay man. a gay nightclubwhat is supposed to be a safe place where the lgbt community can gather and be who they arewas targeted by violence and bigotry. the stonewall riots are considered the very beginning of the gay rights movement. and that is why we celebrate june as lgbt pride month. and we see more hatredfueled violence at a gay gathering place. i know only because i have seen the path well worn by my lgbt brothers and sisters. or the twisted haters who are bigoted against lgbt or some other group. a gay nightclub in orlando. a large gay nightclub in downtown orlando. promote awareness of the areas lesbian. gay. bisexual. and transgender community. and they host monthly lgbtrelated education events. and i want to thank him for the work he has done as our leader on the foreign relations committee to make lgbt rights not just a domestic priority but an international priority for this country. but clearly he had a hatred in his heart for people in the lgbt community. then we give less room for individuals who might be contemplating these hateful actions against individuals who are members of a minority grouplgbt. but we also need to double down on inclusive societies and we need to double down on fighting discrimination against our lgbt brothers and sisters because to the extent that we make discrimination. i cant say anything more than the senator said with respect to that commitment as it applies to lgbt americans.","after"
"61",2016-06-22,"D","CT","josephine gay.","after"
"62",2016-07-06,"D","CT","for the lgbt community.","after"
"63",2016-07-12,"D","CT","pulse was a mainstay of orlandos lgbt community. instead of standing with the lgbt community. today the committee on oversight and government reform will be advancing legislation to undermine the existing and insufficient protections that the law provides for lgbt americans. i am proud that my home state of connecticut is one of several states to pass legislation protecting the lgbt community from discrimination. lgbt folks are our brothers. i cant imagine a worse way for congress to respond to the massacre in orlando than with legislation attacking lgbt americans. the american people overwhelmingly believe that discrimination targeting the lgbt community has no place in our society. targeted because they are lgbt at the pulse nightclub in orlando. we stand with our lgbt brothers and sisters. and action is not increasing voting to increase discrimination against our lgbt brothers and sisters and to make them more vulnerable to the gun violence that wracks this country.","after"
"64",1991-03-06,"D","DE","downey dreier duncan durbin dwyer dymany early eckart edwards (ca) edwards (ok) edwards (tx) emerson engel english erdreich espy evans faspell fawell fazio felghan fields fish flake foglietta ford (mi) prank (ma) franks (ct) frost gallegly gallo gaydos gejdenson gekas gephardt geren gibbons gilchrest gilman gingrich gllckman gonzalez goodling gordon goss gradison grandy gray mcdade sanders green mcdermott santorum guarini mcewen sarpallus gunderson mcgrath savage hall (oh) mchugh sawyer hall (tx) mcmillan (nc) saxton hamilton mcmllen (md) schaefer hammerschmidt mcnulty scheuer hancock meyers schiff hansen mfume schroeder harris michel schulze hastert miller (ca) schumer hatcher miller (wa) sensenbrenni hayes (il) mineta serrano hayes (la) mink sharp hefley moakley shaw hefner molinari shays henry mollohan shuster herger montgomery sikorskl hertel moody slasky hoagland moorhead skaggs hobson moran skeen hochbrueckner morelia skelton holloway morrison slattery hopkins mrazek slaughter (n horn murphy slaughter (v houghton murtha smith (fl) hoyer myers smith (ia) hubbard nagle smith (nj) huckaby natcher smith (or) hughes neal (ma) smith (tx) hunter neal (nc) snowe hutto nichols solars hyde nowak solomon inhofe nussle spence ireland.","before"
"65",1991-04-11,"R","DE","senator gaylord nelson.","before"
"66",1995-12-11,"D","DE","talking about that 19 percent of my population that is black having equal rights."" probably a significant portion of the american public is offended by some of the more militant aspects of the gay and lesbian movement who stand up and make speeches about what their rights are.","before"
"67",1998-07-22,"D","DE","we had a debate on how we should treat gays in america.","before"
"68",1998-10-15,"R","DE","there is strong evidence that his attackers were motivated because matthew shepard was gay.","before"
"69",2002-02-26,"D","DE","fight for gays.","before"
"70",2003-06-27,"D","DE","and at the end the last group of witnesses we hadwe had six witnessesincluded a young man representing the gay and lesbian task force. to be gay was not to be in any way maladjusted. why do they call it ""gay""?","before"
"71",2004-07-14,"D","DE","the question was: how are you going to vote on that amendment on gay marriage?","before"
"72",2004-09-30,"D","DE","nine in believed was gay.","before"
"73",2006-05-09,"D","DE","whitney gayle fisher.","before"
"74",2010-05-26,"D","DE","the university policy reflected a policy preference for nondiscrimination against gays. and i personally believe that the exclusion of gays and lesbians from the military is both unjust and unwise.","before"
"75",2010-12-18,"D","DE","i have met with many courageous members of the military some of whom also happened to be gay or lesbian and listened to congressional testimony on this issue. sixtynine percent believe they have served with someone who is gay or lesbian. 92 percent responded that serving with someone who is gay or lesbian had little impact on their unit. gay americans have chosen to proudly serve their country.","before"
"76",2011-07-18,"D","DE","as the first openly gay man confirmed to the federal bench. for gay. lesbian. bisexual. and transgendered americans.","before"
"77",2011-09-20,"D","DE","nearly 14.000 lgbt americans wanted to serve their nation in their military but were deemed unfit to serve not because of what they did but because of whom they loved. 3 months ago i was 1 of 13 senators to record a video telling the gay. lesbian. bisexual. and transgender youth of this country that it gets better.","before"
"78",2012-02-02,"D","DE","whether they are or are not a member of the lgbt community should be irrelevant to whether they are able to access the vital services funded by the vawa.","before"
"79",2012-04-26,"D","DE","like those in the lgbtq community. lesbian. gay. bisexual and transgendered americans experience domestic violence in the same percentage of relationships as the general populationa shocking 2535 percentyet these victims often dont have access to the same services as their straight friends and neighbors. nearly half of lgbtq victims are turned away from domestic violence shelters. whether the victim is gay or straight. the amendment offered by senator hutchison removes these key provisions and would allow the denial of vawa assistance to victims solely because of their lgbt status.","before"
"80",2012-06-26,"D","DE","autumn nyagaya.","before"
"81",2012-09-13,"D","DE","sadly the reality is that lesbian. gay. bisexual. and transgender americans experience domestic violence at the same percentage as relationships in the general population. whether the victim is gay or straight.","before"
"82",2013-06-11,"D","DE","or the recognition of mixedstatus lgbt families in our country who receive no federal protection under this bill.","before"
"83",2013-11-06,"D","DE","it is a bill that will put in place basic workplace protections for lesbian. gay. bisexual. and transgender americans. delawares general assembly built on its 3yearold law by protecting lgbt people from workplace discrimination. adding protections for transgender delawareans as well. in 29 states it is still legal to fire someone just because they are gay. just because they are lesbian. or just because they are bisexual. more than 40 percent of lesbian. gay. and bisexual americans. and almost 80 percent of transgender americans. more than 80 percentthink it is already against the law to fire someone just because they are gay. and the university of delaware have led the way with their own policies to protect the rights of lgbt delawareans and their employees. it is not ok to fire someone because they are gay or transgender either. to ensure that gay. lesbian. bisexual. and transgender americans will be able to go to work.","after"
"84",2015-10-01,"D","DE","months ago considered the nomination of gayle smith to be the next administrator of usaid. gayle smith came before our committee and received commendations and plaudits from republicans and democrats for her long experience as a journalist.","after"
"85",2016-06-16,"D","DE","grief for the greater lgbtq community across our nation and world. violent rampage of hate against our lgbtq brothers and sisters.","after"
"86",1985-08-01,"D","HI","in yesterdays washington post the enola gays commander. the event triggered by the enola gays flight 40 years ago was a traumatic one for me personally.","before"
"87",1989-11-14,"D","HI","maigaret gaynor.","before"
"88",1989-11-17,"D","HI","margaret gaynor.","before"
"89",1992-07-09,"D","HI","a statement was made that he could not see that people could be parents if they were gay or lesbian. and was given love and affection by the foster care of a gay couple.","before"
"90",1992-07-30,"D","HI","the gay head wampanoag tribe in massachusetts.","before"
"91",1996-06-13,"D","HI","from the japanese landing at lingayen to the liberation of the philippines in 1944.","before"
"92",1996-07-11,"D","HI","""the constitution delegates to the united states no power to create categorical exceptions to the full faith and credit clause."" the supreme court just recently struck down a colorado law that targeted gay and lesbians in romer versus colorado. this case suggests that the supreme court will rule legislation motivated by animus against gays and lesbians unconstitutional under the equal protection clause of the 14th amendment unless the legislative classification bears a rational relationship to a legitimate state purpose.","before"
"93",1996-07-12,"D","HI","if in hawaii the hawaii supreme court decrees that the state of hawaii constitution requires that gays and lesbians be allowed to have a marriage recorded as a state decree. it would have provided all the protections that gays and lesbians have been seeking over the years. failure of the state to assure gays and lesbians all the protections under the law require that we pass a domestic partner law.","before"
"94",1997-07-16,"D","HI","gay & robinson.","before"
"95",1997-09-30,"D","HI","we are here today to gay that everyone countswhether you are a person of color.","before"
"96",1999-10-04,"D","HI","laheenae gay was from the big island. laheenae gay. gay. gay was from my constituency but i had just returned from a trip with my subcommittee.","before"
"97",2003-08-01,"D","HI","i ended up on saipan and tinian where i watched the enola gay take off for hiroshima.","before"
"98",2003-11-18,"D","HI","i joined some of my colleagues in writing a letter to the distinguished chairman and ranking member of the senate armed services committee to request information regarding the specific actions general clark took to eliminate the climate of antigay harassment that existed at fort campbell prior to private first class winchells death. statements general clark made regarding antigay -harassment to officers. i remain disturbed by general clarks continued reliance on lack of knowledge regarding misconduct and antigay harassment on post as a rationale for his lack of action.","before"
"99",2004-03-30,"D","HI","apparently those who are gay or lesbian or transgender or whatever other category we are getting into these days. that the secretary of defense is necessarily up on all the latest in transgender fashions.","before"
"100",2005-05-16,"D","HI","shirly tagayuna.","before"
"101",2006-05-02,"D","HI","gay and robinson and hawaiian commercial and sugar.","before"
"102",2007-11-07,"D","HI","i am glad to be able to have this opportunity to debate the baldwin arfiehdment to include antidiscrimination protections for transgender individuals.","before"
"103",2009-03-10,"D","HI","colleen gaydos.","before"
"104",2010-12-15,"D","HI","congress must finally repeal this law and replace it with a policy of inclusion and nondiscrimination so that justice and equality can be restored for the gay and lesbian servicemembers fighting for our country. this report revealed that a large majority of troops were comfortable with the prospect of overturning longstanding restrictions on gays in uniform and expected that it would have little to no effect on their units.","before"
"105",2012-05-16,"D","HI","including lgbt. for lgbt victims of domestic violence.","before"
"106",2013-06-20,"D","HI","national queer asian pacific islander alliance.","before"
"107",2014-03-06,"D","HI","and allowing gays and lesbians to serve openlya familiar refrain from senior military leadership to block such changes was to claim that the proposed changes would destroy good order and discipline.","after"
"108",2015-03-26,"D","HI","this amendment will fix this and provide equal protection under the law and the social security and veterans benefits that gay americans have earned.","after"
"109",2015-04-15,"D","HI","including gay couples. imagine a veteran who served his country for decades fighting for equality and freedom around the world and he gets married in a state that allows gay marriage. no one is denying that americans earned their social security and veterans benefits regardless of whether they are gay or straight. gay married couples can now file joint taxes. we are not debating whether gay marriage should be legal in all 50 states. the federal government is ignoring the laws of states that allow gay marriage.","after"
"110",2016-06-15,"D","HI","shocking violence in one place at one time for one purposeto strike terror in peoples hearts and to strike terror in the hearts of people who are gay.","after"
"111",1981-07-27,"D","IL","joe gaydos.","before"
"112",1981-09-09,"D","IL","gayle and stacy.","before"
"113",1981-09-23,"R","IL","none of us feels that an alternative gayernincnt is available.","before"
"114",1981-11-17,"R","IL","gay chin.","before"
"115",1981-12-15,"R","IL","gayleto be all together to share our affection for scott and paul.","before"
"116",1985-03-06,"D","IL","gaydosi.","before"
"117",1985-03-26,"D","IL","chairman gaydos. subcommittee chairman gaydos is continuing the tradition of frugality and no supplementals which i tried to establish as chairman of the accounts subcommittee. chairman gaydos.","before"
"118",1985-10-02,"D","IL","boggas dellu sos garcia craig reto.q boland derrick gaydos crane mr.","before"
"119",1985-12-17,"R","IL","robert (or) solomon spence stenholm strang stump sundquist nays256 ford (tn) fowler frank fuqua garcia gaydos gejdenson gekas gephardt gibbons glickman gonzalez goodling gordon gradison gray (pa) guarini hamilton hatcher hawkins hayes hefner heftel henry hertel howard hoyer hughes hyde ireland jacobs jenkins johnson jones anc) jones (tn) kanjorskl kaptur kastenmefer kemp kennelly kildee kleczka kolter kostmayer lafalce lagomarsino lantos latta leach (ia) lehman (ca) lehman (fl) leland lent levin (mi) levine (ca) lightfoot lipinski lowry (wa) lujan luken lundine mackay manton markey martinez matsui mavroules mazzoll mccloskey mcdade mcewen mcgrath mchugh mckernan meyers mica michel sweeney swindall synar tallon tauke tanzin thomas (cal vucanovich walker watkins weber whittaker wilson wirth wolf wortley wright wyden young (ak) zschau mikulski miller (ca) mineta mitchell moakley.","before"
"120",1986-02-05,"D","IL","gaydosl for yielding me this time.","before"
"121",1986-02-18,"R","IL","gayleboth graduates of bob jones universityhave made their home in hoffman estates.","before"
"122",1986-04-10,"D","IL","senator gaylord nelson of wisconsin. gaylord nelson was never known for mincing words and letting anyone be uncertain as to what his position was.","before"
"123",1986-06-19,"R","IL","gaydos gekas the soviets therefore have every gilman -reason to follow our lead of restraint.","before"
"124",1986-08-06,"R","IL","daniel dannemeyer darden daschle daub davis de la garza delay dellums derrick dewlne dickinson dicks dingell dioguardl dixon donnelly dorgan (nd) dornan (ca) dowdy downey dreler duncan durbin dwyer dymally dyson early eckart (oh) eckert (ny) edgar edwards (ca) edwards (ok) emerson english erdreich evans (ia) evans (il) fascell fawell pato felghan fiedler fields fish hlppo florio foglietta foley ford (mi) ford (tn) fowler prank franklin frenzei frost tuqua"" gallgarcia gaydos oejdenson gekas gephardt gibbons oilman gingrich gllckman gonzalez goodling gordon gradison gray (il) gray (pa) green gregg guarini gunderson hall (oh) hall.","before"
"125",1986-09-10,"D","IL","$1 million has been spent on the renovation of the gaylord building.","before"
"126",1986-10-16,"D","IL","congressman joseph gaydos.","before"
"127",1987-03-19,"D","IL","gaydos.","before"
"128",1987-07-14,"D","IL","the employment rights of gays.","before"
"129",1987-08-06,"D","IL","the average nuclear weapon is 30 times more powerful than the one bomb dropped from the enola gay that leveled the entire city of hiroshima.","before"
"130",1987-09-10,"D","IL","the employment rights of gays.","before"
"131",1987-09-30,"D","IL","congressman joseph gaydos.","before"
"132",1988-03-17,"D","IL","this bill does not extend civil rights protection to include gays or lesbians.","before"
"133",1988-04-27,"D","IL","aids is spreading twice as quickly in the heterosexual community as in the gay community.","before"
"134",1989-06-29,"R","IL","i was one who made the invasion at lingayen gulf against the japanese on january 5.","before"
"135",1990-02-08,"D","IL","the gay and lesbian task force. the national gay and lesbian task force indicates that reported antigay incidents ranging from harassment to homicide were up in 1988 to a total of 7.248 incidents. frankly i do not think should be controversial is whether we include gay and lesbian groups here. i think there is gay bashing.","before"
"136",1990-03-21,"D","IL","and i can therefore appreciate the excellent job that joe gaydos does.","before"
"137",1990-05-24,"D","IL","of chicago has worked to increase understanding and support for gay and lesbian residents of chicago.","before"
"138",1990-06-06,"R","IL","i would say as someone who was there for the invasion of lingayen gulf in the philippines that there was a thing called the fighting spirit of our marines.","before"
"139",1990-07-26,"D","IL","consumer rights or igay and lesbianthat failed to see its most articulate advocates on ""the 11th hour."" the fact that ""the 11th hour""-a .program that fulfills public televisions misslonwas canceled as ""too expensive."" while the corporatefunded ""macneillehrer"" coasts on its $20 million yearly budget points to the major flaw in public tv: it its not truly public.","before"
"140",1991-02-06,"D","IL","gaydos.","before"
"141",1991-02-20,"D","IL","jewish community institutions and churches which serve the gay community fell victim to a wave of biasoriented attacks.","before"
"142",1991-02-27,"R","IL","gayle.","before"
"143",1991-03-19,"D","IL","i rise today to conunend the national gay and lesbian task force policy institute [ngltf] for their work to expose and combat hate crimes and to bring your attention to their most recent report. ""antigay/lesbian violence. the ngltf has compiled data about incidents of antigay and lesbian violence and intimidation. their efforts in data collection and in promoting awareness of gay and lesbian issues greatly helps to address the problem of antigay and lesbian violence. the ngltf policy institute indicates that the number and severity of antigay and lesbian hate crimes has worsened nationwide. reported to gay and lesbian victim assistance agencies in the six u.s. antigay incidents increased by 11 percent in chicago. antigay episodes in all six cities increased by 42 percent over 1989. new york city reported 3 antigay murders last year. the 6 cities surveyed reported 16 gayrelated murders last year. a gay man was bludgeoned to death with march 19. 1991 cons a hammer near several gay bars. a gay man was beaten so badly after he left a gay bar that he now suffers partial blindness and brain damage. fbi agents arrested members of the aryan nations just hours before the men planned to detonate a powerful pipe bomb in a popular gay bar. equally disturbing is the abuse gays and lesbians suffer on our college campuses. students shouting antigay slurs attacked two gay men. 54 percent of the lesbian and gay respondents surveyed reported having been verbally harassed or threatened on campus because of their sexual orientation. these reports of antigay violence on college campuses are especially disturbing because the campus environment is ideally one in which diversity and pluralism are cherished values. while the national gay and lesbian task force policy institutes report greatly increases public awareness of antigay violence. i again want to commend the national gay and lesbian task force for its important work.","before"
"144",1991-03-20,"D","IL","ranking minority member bill thomas and subcommittee on accounts chairman gaydos for working with us to reach a compromise on the issue of assistant staff positions for the members of the committee on ways and means.","before"
"145",1991-07-24,"R","IL","gaydosi could.","before"
"146",1991-11-22,"R","IL","s a r gay as given to kraushaar gave me and my staff tredy and sup- mendous help throughout the appronent.","before"
