"","date","party","state","text"
"64",1990-06-05,"R","AZ","myra rose begay. begay wrote: it is my understanding that all of the workers from the uranium mines in cove."
"65",1991-11-25,"R","AZ","and gay. lesbian and bisexual quests for time."
"66",1992-06-11,"R","AZ","balance the ackerman costello gaydos budget without raising taxes during alexander cox (il) ."
"67",1993-02-04,"R","AZ","the issue of allowing open gay life styles in the military is completely different from the kind of changes taking place in civil life. americas uniformed military leaders are not being reactionary by objecting to the open admission of gays into the military before our society has fully resolved questions about their involvement in many other walks of life where a gay life style may be perceived as more than a matter of personal choice. the day may come when society as a whole accepts gay life styles as a fully integrated part of our national life. his report is a must read for anyone interested in an objective examination of the issue of gays in the military."
"68",1993-05-18,"D","AZ","gay scholarship."
"69",1993-05-25,"R","AZ","the issue of gays in the military."
"70",1993-09-28,"R","AZ","including all the gay activist finally."
"71",1994-09-29,"D","AZ","and the religious action center of reform judaism all gay the bill protects the free exercise of rights of religious groups."
"72",1995-05-03,"R","AZ","i am simply going to make a unanimousgay 3."
"73",1995-06-08,"R","AZ","and business school graduates."" hundt went on to gay."
"74",1995-09-06,"R","AZ","was recently seen in the controversy over the enola gay exhibit at the smithsonian. three days after the enola gay dropped the bomb on hiroshima."
"75",2001-01-29,"R","AZ","i ask unanimous consent to print in the record a letter from kelsey begaye. president begaye notes that she has an understanding of indian issues which will make her a fine trustee."
"76",2001-09-25,"R","AZ","it could be a lesbian or gay couple living together. it is not jutit a gay partner. a lesbian partner."
"77",2004-07-12,"R","AZ","and gay and lesbian advocates and defenders."
"78",2006-05-02,"R","AZ","i am informed the members are the gay and robinson sugar company."
"79",2006-06-08,"R","AZ","the gentleman gays it is more impor*tant to provide safe drinking water than it is to make military sales to other countries."
"80",2007-06-27,"R","AZ","the commission web site gays: ""this organization created organizations."
"81",2008-07-15,"R","AZ","keep in mind that another justification for earmarking is people will gay."
"82",2009-06-24,"R","AZ","but yale closed its doors to military recruiters primarily because it disagreed with the militarys policies on gays."
"83",2009-07-15,"R","AZ","turns and strikes someone who is gay. about gay people. yelling antigay slurs."
"84",2010-04-21,"R","AZ","former senator gaylord nelson of wisconsin. senator gaylord nelson of wisconsin founded earth day because of his love for our planet and the environment. gaylord nelson served in the senate from 1963 to 1981."
"85",2010-05-17,"R","AZ","dont tell policy that may come before her or some other policy that she believed discriminated against gays or homosexuals."
"86",2010-08-03,"R","AZ","as one legal scholar and proponent of samesex marriage said about the justice departments argument: this new position is a gift to the gaymarriage movement. the doj is helping knock out a leg from under the opposition to gay marriage. kagan has a history of ignoring the law when it conflicts with the gay rights agenda."
"87",2010-09-21,"R","AZ","made a commitment to the gay and lesbian community that he would have as one of his priorities repeal of the dont ask. galvanize his political base as far as the hispanic community is concerned and the gay and lesbian community."
"88",2011-12-07,"R","AZ","begay. samuel begay."
"89",2012-05-16,"D","AZ","the house republican version of this bill rolls back existing protections for immigrants who are victims of domestic violence and strips provisions in the senate version that protect native americans and lgbt abuse victims. the senate version prevents any entity that receives federal antiabuse grants from turning away lgbt victims when they have suffered from domestic violence or abuse."
"90",2012-06-19,"D","AZ","apostle islands national lakeshoregaylord nelson wilderness."
"91",2012-06-29,"R","AZ","gayle."
"92",2013-02-28,"D","AZ","and lgbt americans. lgbt americans will be added to the measures nondiscrimination clause. and lgbt americans and weakens the trafficking victims protection act and the safer act."
"93",2015-06-24,"D","AZ","i rise today in support of affirming marriage equality and providing equal protection guarantees to lgbt americans throughout our country. but not our lgbt americans. the fight for marriage equality for our lgbt brothers and sisters is one of the great civil rights battles of our lifetime. it is well past time we end the discrimination against our lgbt americans."
"94",2015-10-27,"R","AZ","ialong with arizona governor doug duceymet with navajo nation president russell begaye and navajo council speaker lorenzo bates in window rock. russell begaye. it was also revealed that administrator mccarthy did not directly contact president begaye for about 5 days after the spill."
"95",2016-01-06,"D","AZ","and lgbt americans."
"96",2016-07-06,"D","AZ","some of our lgbt brothers and sisters still live in fear in the 21st century."
"97",1981-12-08,"D","AR","a bill introduced by former senator gaylord nelson in the 96th congress."
"98",1982-02-23,"R","AR","such as balys gayauskas."
"99",1982-03-24,"D","AR","1072 1081 1036 gayshiln.shlngo8& cd....................."
"100",1983-10-17,"R","AR","the b6ys will shout/ the ladies they will all turn out/ and well all feel gay/ when johnny comes marching home."" after kilroy crushed tojo and hitler."
"101",1983-11-17,"D","AR","gaylord nelson. gaylord nelson."
"102",1984-07-25,"D","AR","gay talese."
"103",1984-08-06,"D","AR","gaylord nelson."
"104",1985-12-11,"D","AR","who at the age of 71 had been a resident of the mount gayler area in northwest arkansas since 1931. he loved the mount gayler area and worked hard for improvements to benefit the other citizens who had settled into this mountain community. his family has operated stores and restaurants on mount gayler since 1931."
"105",1986-03-11,"D","AR","and 1980 i cosponsored bills introduced by senator gaylord nelson to lower tax rates for small businesses."
"106",1987-01-20,"D","AR","2479 by the governsenator gaylord nelson of wiscon- mental affairs committee."
"107",1987-09-22,"D","AR","and that is not to suggest that the best minds in the country are in the gay community."
"108",1987-10-09,"D","AR","under the leadership of chairman gaylord nelson."
"109",1990-04-19,"D","AR","gaylord nelson to whom we are indebted for earth day."
"110",1990-05-08,"D","AR","and then there was senator gaylord nelson."
"111",1992-09-23,"R","AR","gaydos gejdenwon"
"112",1993-06-15,"D","AR","one reason bill clintons problems are compounded is because 6.9 percent of our people are unemployedan acceptable levelbut people come up to me and say: i detest the idea of lifting the ban on gays in the military."
"113",1994-07-20,"D","AR","he is saying that an organization of gay men and lesbian women can use the resources of the department for the purposes of the organization? there is no gay rights agenda at the department and there certainly will be no seminars or sensitivity training sessionsto promote acceptance of alternate lifestyles."
"114",1995-06-15,"D","AR","mary gay shipley."
"115",1995-09-25,"D","AR","or gays in the military."
"116",1995-12-18,"D","AR","some of them were mad about gays in the military."
"117",1996-01-04,"D","AR","they were do not think those savings will ever angry about gays in the military."
"118",1997-02-13,"R","AR","john gaylor. of gaylor electric. gaylor has to budget almost $200.000 annually to defend himself against frivolous charges. gaylor has been forced to defend himself against at least 80 unfair labor practice complaints. gaylor had to fire one employee after his refusal to wear his hardhat on his head. this employee would strap the hardhat to his knee and then dare gaylor."
"119",1998-02-26,"R","AR","john gaylor of gaylor electric from indiana."
"120",1998-04-23,"R","AR","consider the following examples: gaylor electric of carmel. gaylor electric has had to bear the cost of these cases to the tune of $250.000 per year."
"121",1998-07-21,"D","AR","i understand that one of your children is gay. do you think he would ask if her children were gay or had ever smoked pot if her lawyer was sitting in the room?"
"122",1998-07-22,"D","AR","i understand your daughter is gay."
"123",1998-09-14,"R","AR","gaylor electric faced 96 charges. but it cost gaylor electric $250.000 annually to defend themselves against this salting campaign."
"124",1999-02-03,"R","AR","john gaylor of gaylor electric had to fire one employee after this refusal to wear his hard hat on his head. this employee would strap the hard hat to his knee and then dare gaylor to fire him because he said the employee manual stated only that he had to wear the hard hat."
"125",2000-07-21,"R","AR","former senator gaylord nelson."
"126",2001-01-22,"R","AR","former senator gaylord nelson."
"127",2008-06-11,"D","AR","including daniel lincoln who holds the outdoor american record for the 3.000m steeplechase and tyson gay wh6 holds the 200m record at the outdoor world championships."
"128",2010-12-15,"D","AR","when it comes to issues regarding gays and lesbians. their first home church would not have thrived without the labor and dedication of numerous gay and lesbian members. my babies child care benefited from several loving lesbian couples who have given their time to help my wife and i raise them. and america benefits from gay and lesbian pilots."
"129",1981-06-25,"D","CO","noel gayler about the everincreasing danger to our national security posed by nuclear weapons. admiral gayler. admiral gayler points out that although our two nations have many objectives which conflict intensely we share one objective far more important than all the others: not being blown up. admiral gaylers articles represent a compelling argument for moving forward promptly with strategic arms control talks. i ask that admiral gaylers articles be printed in the record at this point."
"130",1982-04-28,"D","CO","want to make several additional comments about the bill the senate will begin to consider togay."
"131",1982-05-13,"D","CO","noel gayler."
"132",1983-07-14,"D","CO","noel gayler."
"133",1988-07-08,"R","CO","last fall in the case of the gay rights coalition of georgetown university law center versus georgetown university. an editorial from the richmond timesdispatch which in part characterizes the decision which we are seeking to reverse as judicial activism at its worst throwing fundamental legal and constructional doctrines out the window in order to advance a gay rights revolution which the court apparently feels more imlportant than the rules of law as well as constitutionally protected freedom of religion. it make room within georgetown for gay and lesbi an student federations. that doesnt make gays unique. there are gay groups. while it neednt technically ""recognize"" the gay groups. the school wont have to host gay religious ceremonies or meetings with a largely nonuniversity audience. but georgetown will still be forced to subsidize gay groups. and gays who pay taxes have as much right to government services and employment as anyone else. vindictive personal discrimination against gays. and gays certainly shouldnt expect to be subsidized by those who are offended by their lifestyle. to show up at a catholic school and demand that it fund gay activist groups is."
"134",1989-09-07,"R","CO","how about homosexuality and bisexuality?"
"135",1989-09-25,"D","CO","howard and gayle harms."
"136",1990-02-28,"R","CO","my amendment simply will allow big brothers and other similar organizations in the district of columbia to set their own policy without coercion from the city council with respect to the participation of adult homosexuals or bisexual persons in such programs or activities."
"137",1990-03-01,"R","CO","my amendment does not say they cannot accept homosexuals or they cannot accept bisexuals or other persons if that is their wish and desire. bisexual. bisexual."
"138",1990-07-13,"R","CO","i recognize that the ada is not explicitly a gay rights bill. which excludes homosexuality and bisexuality from the definition of disability."
"139",1990-09-12,"R","CO","or conditioning the participation of any adult homosexual person or adult bisexual person in any program or activity that(1) educates. bisexual."
"140",1991-08-02,"D","CO","and the enola gay."
"141",1991-10-01,"D","CO","and the enola gay."
"142",1991-10-01,"R","CO","and the enola gay."
"143",1992-09-29,"D","CO","and the enola gay."
"144",1993-02-02,"R","CO","gays in the military is a totally separate and unrelated issue that would be dealt with in totally separate debates."
"145",1993-02-04,"R","CO","i rise today to address the compromise agreed to by the leadership and president clinton as we address the current ban on gay and lesbian americans serving in the united states military. airmen and marines--gay or straight. and common sensenot unfounded fears or old wives tales of gay behavior should drive this debate. our armed forces wasted over $27 million last year hunting and discharging gay and lesbian soldiers. should lesbian and gay americans be allowed to serve in the armed forces?-they already are serving."
"146",1993-05-20,"R","CO","a gay and lesbian today to express my concern about the oriented newspaper."
"147",1993-06-23,"D","CO","dont tell"" policy on gays in the military. study on gays in the military. it continues to sanction a gay individuals discharge for status rather than misconduct. attendance at a meeting of the largest gay organization in america. they are reported as lesbians."
"148",1993-08-04,"D","CO","i wish we had been able to lift the ban against gays and homosexuals and lesbians."
"149",1993-09-28,"D","CO","the entire naton has vigoroust.d6bated jthe rotb of gay rr andleablans ihf te milltzy..thisfick trandof itbeff. tfat curlnalizes the servleof~patribt gay and lesbian serviemembers. as gay men and lesbians. of gay men and lesbians who offer to die for their country while their country reviles them is not only the supreme act of courage but also evidance that they are indeed capable o such service. there is none for gay americah. the impact of a gay individual on cohesion depended on both the gay individuals conducto her status--and the tolerance of those in the unit. advocates of the ben claim that gay men are at higher risk for hiv infection. 1993 report on gays in foreign militaries. ""the military leaderships support of the new policy--of nondiscrimination against- gays and lesbians--nd the militarys ability to keep a low profile on bs issue"" made the successful integration of gays and lesbians possible. the policy violates the constitutions promise of equal protection guaranteed in the fifth and fourteenth amendments because t treats lesbians and gay men differently from their heterosexual colleagues. it violates first amendment guarantees of free speech for gay individuals. it also violates first amendment guarantees of freedom of rollglon.because a gay individual who attends a metropoman community church service. the largest gay organization in the united states. as the subcommittee on military forces and personnel members insisted on reducing gay men and leablan to hyperpolificized sexual predatore who only attend parades and bars. in our rush to micromanage military personnel policy with respect to gays and lesbians."
"150",1993-10-06,"R","CO","gay and lesbian community service center of colorado complaints up 275 percent."
"151",1995-10-10,"D","CO","including gay men and lesbians. including gay men and lesbians. lesbian. or bisexual orientation."
"152",1996-07-12,"D","CO","as well as being motivated on the part of some of its advocates by a gratuitous hostility toward gays and lesbians. but reserving that word for that institution means just that i also recognize that gay and lesbian couples seek legal recognition and permanence for their relationships and the rights and responsibilities that flow from those relationships. can move to accommodate the legitimate needs of gay and lesbian citizens in this respect no one. for the lifelong partner of a gay man or lesbian woman."
"153",1996-08-01,"D","CO","the conference report does not include dornan provisions on hiv positive servicemembers and gays in the military."
"154",1998-08-05,"D","CO","i resent the recent escalation of antigay rhetoric we are hearing out of washington. that to be gay or to support gayrights is somehow an antichristian value is absurd. in 1992 the state of colorado passed amendment 2 which would have eradicated basic protections for gays."
"155",1998-08-05,"R","CO","so let me start by telling you what the executive order does not do: it does not establish ""affirmative action"" for gays and lesbians. it does not require federal agencies to hire gays. or bisexuality."" now that weve got that clear. i think their real motives are abundantly clear: they want to promote discrimination against gays and lesbians."
"156",1998-10-15,"D","CO","gay men and lesbians all across the country live in fear that some tragic and brutal crime like this will happen to them. gay men and lesbians are being beaten and brutalized simply because of their sexual orientation. someone actually stuck a scarecrow that was covered with antigay graffiti. everyone in this country deserves to pursue the american dream and that includes gay men and lesbians. straight and gay."
"157",2000-07-11,"R","CO","by gaylor v."
"158",2000-07-24,"R","CO","gaylor v."
"159",2000-10-11,"D","CO","it is well past time for legislation that makes hate crimes against gays and lesbians."
"160",2001-06-27,"R","CO","these films included depictions of explicit lesbian pornography. lers oneman performance titled ""my queer body""."
"161",2001-12-13,"D","CO","earlier this year a young man in colorado was brutally beaten and left for dead in southwestern colorado because he was transgendered and openly gay."
"162",2002-06-24,"R","CO","here is the essay question: ""two choices: life as a gay atheist in fargo. or life as a christian gay in riyadh. as evidenced by the recent refusal of the toledo city council to grant medical benefits to the pets of cohabitating transgendered city employees."" it goes on."
"163",2004-07-09,"R","CO","gays and lesbians are entitled to the same legal protections as any one else. gays and lesbians have the right to live the way they want to."
"164",2004-07-13,"R","CO","they lost in the district court on their first appeal and curiously the gay rights groups tried to talk them out of pursuing their case because it interfered with the groups national litigation strategy. gay rights groups tried to talk them out of pursuing their case because it interfered with the groups national litigation strategy. later it was filed in key west by the national center for lesbian rights. the montana chapter of the aclu sued on behalf of two lesbian employees of the montana state university system challenging that the state discriminates against gay and lesbian employees by giving spousal benefits only to married couples."
"165",2004-07-22,"D","CO","this is the republican leaderships last ditch effort to get a vote on gay marriage in the house to effect the.election this fall. today the issue -is gay marriage."
"166",2006-07-18,"R","CO","and gay marriage since 2001. that is probably the best place to look at what gay marriage has done. the european- operience with gay marriage: can it be a cicidence that scandinavia. where they have had registered partnerships since 1997 and full gay marriage since 2001. outofwedlock birthrates were low until the arrival of registered partnerships and gay marriage. and theyve had gay marriage in holland for several years. can it be a coincidence that the region of the worid where marriage has traditionally been weakest was the first place to experiment with something like samesex marriage2 the negative effects of gay marriage on marriage are even clearer in the netherlands. prior to the introduction of registered partnerships and later gay marriage. and then formal gay marriage. gay marriage has helped send a message to parents in scandinavia and holland that being married doesnt have much of anything to do with being a parent. if marriage is disappearing in the parts of the world that have had something like gay marriage longer than anywhere else. i dont want to take a chance on gay marriage here. gay marriage helps europeans to see it that way. where theyve had de facto gay marriage for some time. gay marriage is being advocated on grounds of relationship equality. theyre just waiting for gay marriage to pass to begin agitating for legalized group marriage. and after granting gay marriage on equal protection grounds. a man and two bisexual women signed a triple cohabitation contract. and next week the bravo channel is going to run a sympathetic documentary about a relationship between a woman and two bisexual men. newsweek has already said that ""polygamy activists are emerging in the wake of the gay marriage movement."" well. just wait till gay marriage is actually legalized. the threat to religious freedom: (1) its becoming increasingly apparent that gay marriage poses a significant threat to religious liberty. gay marriage proponents argue that sexual orientation is like race."
"167",2007-11-07,"D","CO","but i will cast my vote with deep regret the trangendered community has been denied the protections offered to gays and lesbians in this bill. i have strongly supported this legislation because it is an important step forward in eliminating discrimination against gay people. all members of the gay. lesbian. bisexual .and transgender community should be protected from employment discrimination."
"168",2009-04-29,"D","CO","last july a young transgender latina living in greeley. who became outraged after he discovered that she was transgender and beat her to death. told authorities that he had ""killed it"" and that ""all gays must die."" just last week i am glad to announce that angies killer was convicted not only of first degree murder but also of a hate crime in the beating death of angie under colorado law. it was the first time in the nation that a state hate crime statute resulted in the conviction of a transgender persons murder. openly gay youth. and although much is talked about violent attacks against the lesbian. gay. bisexual. and transgender community. this is not just an lgbt issue. angie - zapata was an 18yearold transgender woman who was brutally murdered in greeley.."
"169",2009-05-14,"D","CO","no one is forced to marry a gay person."
"170",2009-06-10,"D","CO","another crucial element of modernizing the state department is fighting the discrimination against the lgbt community worldwide.."
"171",2009-06-16,"D","CO","the misrepresentation of data collected in the lesbian. gay. bisexual and transgender community. i hope the obama administration will reconsider this policy and direct the department of commerce to provide the american public with an accurate representation of lgbt families in the u.s."
"172",2009-06-25,"D","CO","i rise today to gain a better understanding of the status of the policy and law on the service of gay men and lesbians in the military. disrupts unit cohesion as gay and lesbian servicemen and women worry constantly-""who knows what""-about their private lives."
"173",2009-07-15,"D","CO","and skilled translatorssimply for being gay."
"174",2009-09-22,"D","CO","gays and lesbians."
"175",2010-05-27,"D","CO","recognize that on the battlefield it doesnt matter if a soldier is lesbian. gay."
"176",2010-12-15,"D","CO","it doesnt matter if a soldier is gay or straight."
"177",2010-12-15,"R","CO","among personnel who said they have served with a leader they believed to be gay or lesbian. and 67 percent of our frontline marines in combat arms units predict working alongside a gay man or lesbian will have a negative effect on their units effectiveness."
"178",2010-12-18,"D","CO","the united states lagssadly lagsbehind the worlds other top militaries which allow open service by gays and lesbians. there is no evidence showing that our military operations in afghanistan or iraq are negatively affected by allowing gay servicemembers to serve openly alongside u.s."
"179",2010-12-22,"D","CO","president obama said: ""there will never be a full accounting of the heroism demonstrated by gay americans in service to this country."" he continued. not just for gay and lesbian members of the military. but to all of us who are gay or lesbian. and all america will see and be told of the patriotism of the gay and lesbian americans who proudly defend a country that today is one step closer to considering us equal."
"180",2011-05-24,"D","CO","this bill in its current form says to gay and lesbian servicemembers."
"181",2011-07-07,"D","CO","dont sanctify gay marriage."
"182",2012-04-26,"D","CO","it increases protections and outreach for lgbt victims."
"183",2012-05-16,"D","CO","they want to fight efforts to extend lgbt individuals equal protection. lesbian. gay. and bisexual victims all have historically faced many barriers to reporting sexual violence. lesbian and gay survivors face particular obstacles in accessing the criminal justice system. lesbian and gay survivors are often reluctant to report abuse. studies tell us that gay and lesbian couples experience domestic violence at roughly the same rates as the general population. it is no surprise that less than one in five gay and lesbian victims of intimate partner violence receives help through a service provider. this bill fails to provide the same vital protections for gay and lesbian families that have been overwhelmingly approved in the senate bill. even women who are lesbians. whether it occurs against gay and lesbian americans. gay and lesbian survivors and victims will struggle to get protective orders or will be turned away from service providers just because of their sexual orientation or gender identities."
"184",2012-05-24,"D","CO","today i wish to congratulate the denver gay mens chorus on its 30th anniversary. since the denver gay mens chorus was formed in 1982."
"185",2012-06-07,"D","CO","which bars gay and lesbian servicemembers."
"186",2012-12-03,"D","CO","gaylord mekelburg."
"187",2013-02-07,"D","CO","we should consider expanding the definition of a family to include members of the lgbt community."
"188",2013-02-14,"R","CO","gaylord mekelburg."
